0 - 0.50375, 0.05666666666666666, 0.405
1 - 0.55625, 0.05666666666666666, 0.405
2 - 0.5270833333333333, 0.03916666666666669, 0.405
3 - 0.55625, 0.021666666666666667, 0.405
4 - 0.50375, 0.021666666666666685, 0.405
5 - 0.50375, 0.0041666666666666866, 0.405
6 - 0.55625, 0.004166666666666676, 0.405
7 - 0.55625, -0.01916666666666665, 0.405
8 - 0.5329166666666667, 0.00416666666666668, 0.405
9 - 0.5329166666666667, -0.019166666666666637, 0.405
10 - 0.50375, -0.03666666666666665, 0.405
11 - 0.55625, -0.03666666666666665, 0.405
